Date,Time,Temp (°F),Pressure (mb),Temp 2m (°F),Temp 10m (°F)
11/20/24,2300,59.3,1021,57.8,58.5
11/20/24,2200,60,1020.9,58.5,59.4
11/20/24,2100,60,1020,58.4,59.4
11/20/24,2000,59.7,1019.9,58.2,59
11/20/24,1900,59.6,1020.1,58,58.8
11/20/24,1800,59.7,1019.7,58.2,58.9
11/20/24,1700,59.7,1019.8,58.3,58.8
11/20/24,1600,60.9,1019.8,59.4,59.8
11/20/24,1500,62.2,1019.4,60.9,61
11/20/24,1400,63.9,1019.1,62.7,62.3
11/20/24,1300,63.8,1019.5,62.8,62.4
11/20/24,1200,62.9,1020.1,61.6,61.8
11/20/24,1100,61.9,1020.5,60.7,60.8
11/20/24,1000,58.7,1020.6,57.5,57.7
11/20/24,0900,57.3,1021.1,55.8,56.5
11/20/24,0800,56.5,1020.9,55.1,56
11/20/24,0700,56.6,1020.2,55.1,56.1
11/20/24,0600,56.6,1020.1,55,56.3
11/20/24,0500,56,1020.3,54.4,56.2
11/20/24,0400,55.9,1019.7,54,56.1
11/20/24,0300,52.8,1019.6,51.4,54.1
11/20/24,0200,51.5,1019.9,49.4,52.2
11/20/24,0100,49,1019.8,47.6,50.7
11/20/24,0000,50.7,1020.3,48.8,51.1
